error,0.cx,0.cy,0.rx,0.ry,1.cx,1.cy,1.rx,1.ry,2.cx,2.cy,2.rx,2.ry
0.4101967870436326,0.0,0.0,1.0,3.0,0.5,1.0,1.0,1.0,-0.5,1.0,1.0,1.0
0.2472035554744092,-3.469848956691937e-17,-0.09953129965718388,0.8463928041536447,3.079848338378613,0.5764067704255744,1.0497656498285919,1.0386002127103904,0.8447571105114594,-0.5764067704255744,1.0497656498285919,1.0386002127103904,0.8447571105114594
0.18144614110191998,-2.39488663914352e-17,-0.15472433737443408,0.7354479419427595,3.1133530044365454,0.6281883230348686,1.077362168687217,1.0550687525778857,0.7575667256982364,-0.6281883230348686,1.077362168687217,1.0550687525778857,0.7575667256982364
0.20584934844164232,-2.406099078523987e-17,-0.16497598695659643,0.8336680052264335,3.143521737435944,0.6113559637812447,1.0824879934782983,1.0308580268739296,0.6919291736338266,-0.6113559637812447,1.0824879934782983,1.0308580268739296,0.6919291736338266
0.18689063773650225,-2.4191378876389664e-17,-0.18113778534639474,0.6989000017407856,3.122497120164968,0.6506847215819656,1.0905688926731973,1.0620281927453405,0.7312128532958551,-0.6506847215819656,1.0905688926731973,1.0620281927453405,0.7312128532958551
0.18081987317823675,-2.4297795474264838e-17,-0.19108825763682516,0.8022363446311823,3.152086176719239,0.6347511299603964,1.0955441288184125,1.037788590952507,0.6642476177214818,-0.6347511299603964,1.0955441288184125,1.0377885909525073,0.6642476177214818
0.17128381715409088,-1.005366567636511e-15,-0.20445722127258023,0.683445246710456,3.1334128701197455,0.6675297503501704,1.1022286106362897,1.0636541689598136,0.7010598827627335,-0.6675297503501694,1.1022286106362902,1.0636541689598122,0.7010598827627327
0.16444151262865508,-6.515178202518316e-16,-0.21311872183379832,0.7784447172507273,3.159475985671171,0.6536811497666714,1.1065593609168987,1.0418245968321702,0.6393222615170555,-0.6536811497666707,1.1065593609168993,1.0418245968321698,0.6393222615170563
0.15671595140569694,9.51640542621078e-17,-0.2247192740176144,0.6703206621566626,3.1424286762496534,0.6822275077096029,1.1123596370088071,1.0643083083295652,0.6745511002321228,-0.682227507709603,1.112359637008807,1.064308308329565,0.6745511002321235
0.15073752053028996,2.971370620498659e-16,-0.23228636599376287,0.7573726712314404,3.165449579347145,0.6701456391571556,1.1161431829968813,1.0446393863191932,0.6177235208114956,-0.670145639157156,1.116143182996881,1.0446393863191927,0.6177235208114962
0.14410320467990403,2.8450743689326374e-16,-0.2424725215475072,0.6582514338607239,3.1498207468222685,0.6952942373462183,1.1212362607737534,1.064438213574953,0.6513995078541918,-0.6952942373462185,1.1212362607737532,1.0644382135749526,0.6513995078541923
0.13888428685112666,3.073776698104443e-16,-0.2491452658388388,0.7383898602379109,3.170326666472985,0.6846655991779088,1.1245726329194192,1.0466019635008081,0.5988713174521255,-0.684665599177909,1.124572632919419,1.0466019635008077,0.5988713174521261
0.13310199182207,4.53127532614912e-16,-0.2581626004601881,0.6470964378495553,3.155960282125181,0.706999434338444,1.129081300230094,1.0641959110654273,0.6310063144333513,-0.7069994343384445,1.1290813002300937,1.0641959110654269,0.631006314433352
0.12849603119137537,3.3042765055750793e-16,-0.2640948777708219,0.7211848048159479,3.174361537829107,0.6975801057424228,1.1320474388854107,1.047928512360188,0.5822664666738029,-0.6975801057424231,1.1320474388854107,1.0479285123601876,0.5822664666738036
0.12903341874402574,3.4039707614576037e-16,-0.2721323049052189,0.6367742593438349,3.161122915617238,0.7175483803168189,1.1360661524526092,1.0636818105065236,0.6128939770127725,-0.7175483803168192,1.1360661524526092,1.063681810506523,0.6128939770127732
